FID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,RenterOcc_e,RenterOcc_m,GrentLt500_e,GrentLt500_m,pGrentLt500_e,pGrentLt500_m,Grent500_999_e,Grent500_999_m,pGrent500_999_e,pGrent500_999_m,Grent1000_1499_e,Grent1000_1499_m,pGrent1000_1499_e,pGrent1000_1499_m,Grent1500_1999_e,Grent1500_1999_m,pGrent1500_1999_e,pGrent1500_1999_m,Grent2000_2499_e,Grent2000_2499_m,pGrent2000_2499_e,pGrent2000_2499_m,Grent2500_2999_e,Grent2500_2999_m,pGrent2500_2999_e,pGrent2500_2999_m,Grent3000P_e,Grent3000P_m,pGrent3000P_e,pGrent3000P_m,GrentLt200_e,GrentLt200_m,pGrentLt200_e,pGrentLt200_m,Grent200_500_e,Grent200_500_m,pGrent200_500_e,pGrent200_500_m,Grent500_750_e,Grent500_750_m,pGrent500_750_e,pGrent500_750_m,Grent750_1000_e,Grent750_1000_m,pGrent750_1000_e,pGrent750_1000_m,Grent1000_1500_e,Grent1000_1500_m,pGrent1000_1500_e,pGrent1000_1500_m,Grent1500_2000_e,Grent1500_2000_m,pGrent1500_2000_e,pGrent1500_2000_m,Grent2000P_e,Grent2000P_m,pGrent2000P_e,pGrent2000P_m,GrentLt750_e,GrentLt750_m,pGrentLt750_e,pGrentLt750_m,Grent1000P_e,Grent1000P_m,pGrent1000P_e,pGrent1000P_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
1,13083040101,No,Northwest Georgia,1623,Tract,"Census Tract 401.01, Dade County",556,205,106,88,22.4,16.2,255,167,53.8,27.4,49,51,10.3,9.8,64,103,13.5,21,0,13,0,2.7,0,13,0,2.7,0,18,0,3.9,10,25,2.1,5.2,96,85,20.3,15.8,106,68,22.4,11,149,152,31.4,29.4,49,51,10.3,9.8,64,103,13.5,21,0,26,0,5.5,212,111,44.7,14.7,113,116,23.8,22.3,,,,,0.937368495144909,0.012216751109245
2,13083040102,No,Northwest Georgia,1624,Tract,"Census Tract 401.02, Dade County",439,88,107,55,32.9,15.4,184,69,56.6,17.1,21,22,6.5,6.6,13,22,4,6.7,0,13,0,4,0,13,0,4,0,18,0,5.7,27,34,8.3,10.4,80,43,24.6,12.2,145,64,44.6,16.8,39,28,12,8.1,21,22,6.5,6.6,13,22,4,6.7,0,26,0,8,252,84,77.5,19.2,34,34,10.5,10.1,,,,,0.67950951762695,0.0119573690732487
3,13083040300,No,Northwest Georgia,1626,Tract,"Census Tract 403, Dade County",138,70,14,41,15.9,44.9,74,58,84.1,37.5,0,18,0,20.9,0,13,0,14.8,0,13,0,14.8,0,13,0,14.8,0,18,0,20.9,0,23,0,25.6,14,34,15.9,36.9,57,53,64.8,43.4,17,24,19.3,23.9,0,18,0,20.9,0,13,0,14.8,0,26,0,29.5,71,67,80.7,55.1,0,26,0,29.5,,,,,1.17542770834654,0.0101814321033932
4,13083040200,No,Northwest Georgia,1625,Tract,"Census Tract 402, Dade County",372,107,80,73,24,20.5,206,98,61.9,21.4,47,50,14.1,14.2,0,13,0,3.9,0,13,0,3.9,0,13,0,3.9,0,18,0,5.5,0,23,0,6.8,80,70,24,19.4,199,96,59.8,20.9,7,23,2.1,6.9,47,50,14.1,14.2,0,13,0,3.9,0,26,0,7.8,279,120,83.8,23.3,47,53,14.1,15.2,,,,,0.675701182639116,0.0101062298836136
5,13045910103,Yes,Three Rivers,1210,Tract,"Census Tract 9101.03, Carroll County",541,166,24,50,4.9,10,394,158,79.9,19,71,62,14.4,11.7,4,7,0.8,1.4,0,18,0,3.7,0,18,0,3.7,0,25,0,5.2,0,31,0,6.3,24,39,4.9,7.7,84,62,17,11.3,310,145,62.9,21.4,71,62,14.4,11.7,4,7,0.8,1.4,0,36,0,7.3,108,79,21.9,14.5,75,65,15.2,12.2,,,,,0.360434972128092,0.00548728088149334
6,13045910104,Yes,Three Rivers,1211,Tract,"Census Tract 9101.04, Carroll County",1082,256,0,60,0,6,392,163,39.4,12.9,604,230,60.6,17.1,0,20,0,2,0,20,0,2,0,20,0,2,0,28,0,2.8,0,35,0,3.5,0,49,0,4.9,218,134,21.9,12.3,174,92,17.5,8.1,604,230,60.6,17.1,0,20,0,2,0,40,0,4,218,147,21.9,13.7,604,232,60.6,17.3,,,,,0.378355645861842,0.00437480300162944
7,13045910502,Yes,Three Rivers,1216,Tract,"Census Tract 9105.02, Carroll County",1039,155,180,77,18.5,7.4,705,168,72.5,13.4,81,60,8.3,6,6,10,0.6,1,0,13,0,1.3,0,13,0,1.3,0,18,0,1.9,26,35,2.7,3.6,154,68,15.8,6.6,402,135,41.4,12.4,303,101,31.2,9.2,81,60,8.3,6,6,10,0.6,1,0,26,0,2.7,582,155,59.9,13.1,87,62,9,6.2,,,,,0.0931793381940673,0.000422746481691714
8,13045910800,Yes,Three Rivers,1221,Tract,"Census Tract 9108, Carroll County",288,82,19,39,7.6,15.4,153,63,61,16.3,79,55,31.5,19.4,0,13,0,5.2,0,13,0,5.2,0,13,0,5.2,0,18,0,7.3,0,23,0,9,19,32,7.6,12.5,106,55,42.2,17.3,47,32,18.7,11.1,79,55,31.5,19.4,0,13,0,5.2,0,26,0,10.4,125,67,49.8,21.7,79,58,31.5,20.7,,,,,0.723506820487115,0.0167195886726791
9,13045910101,Yes,Three Rivers,1209,Tract,"Census Tract 9101.01, Carroll County",1063,184,58,62,5.7,5.9,569,167,55.6,13.2,342,135,33.4,11.8,54,46,5.3,4.4,0,18,0,1.8,0,18,0,1.8,0,25,0,2.5,17,36,1.7,3.5,41,50,4,4.8,150,89,14.7,8.3,419,141,41,11.8,342,135,33.4,11.8,54,46,5.3,4.4,0,36,0,3.5,208,108,20.3,10,396,143,38.7,12.3,,,,,0.200106416734133,0.00162208928458213
10,13045910200,Yes,Three Rivers,1212,Tract,"Census Tract 9102, Carroll County",1065,308,123,194,11.8,18.4,762,317,73.4,21.5,153,109,14.7,9.5,0,20,0,1.9,0,20,0,1.9,0,20,0,1.9,0,28,0,2.7,123,188,11.8,17.8,0,49,0,4.7,200,167,19.3,15.1,562,270,54.1,20.4,153,109,14.7,9.5,0,20,0,1.9,0,40,0,3.9,323,257,31.1,22.9,153,112,14.7,9.9,,,,,0.604046421368308,0.0117005397762738
11,13045910900,Yes,Three Rivers,1222,Tract,"Census Tract 9109, Carroll County",286,95,64,71,27.1,28.4,144,78,61,22.9,28,29,11.9,11.4,0,13,0,5.5,0,13,0,5.5,0,13,0,5.5,0,18,0,7.8,0,23,0,9.5,64,68,27.1,26.7,58,40,24.6,14,86,67,36.4,24.4,28,29,11.9,11.4,0,13,0,5.5,0,26,0,11,122,82,51.7,28.3,28,34,11.9,13.8,,,,,0.593939241320037,0.0128067596156863
12,13045910300,Yes,Three Rivers,1213,Tract,"Census Tract 9103, Carroll County",678,191,13,50,2.2,8.7,520,213,89.8,21.9,46,38,7.9,6.1,0,18,0,3.1,0,18,0,3.1,0,18,0,3.1,0,25,0,4.4,0,31,0,5.4,13,39,2.2,6.8,141,93,24.4,13.9,379,191,65.5,25.1,46,38,7.9,6.1,0,18,0,3.1,0,36,0,6.2,154,105,26.6,16,46,46,7.9,7.5,,,,,0.58294922042417,0.0143781159727262
13,13045911100,Yes,Three Rivers,1224,Tract,"Census Tract 9111, Carroll County",1482,265,252,136,19.3,9.8,763,244,58.4,15.1,275,156,21.1,11.2,0,18,0,1.4,0,18,0,1.4,16,28,1.2,2.1,0,25,0,1.9,56,84,4.3,6.4,196,107,15,7.7,359,162,27.5,11.3,404,183,30.9,12.7,275,156,21.1,11.2,0,18,0,1.4,16,42,1.2,3.2,611,212,46.8,13.6,275,158,21.1,11.4,,,,,0.38372945717607,0.00506609620780421
14,13045911000,Yes,Three Rivers,1223,Tract,"Census Tract 9110, Carroll County",918,204,48,60,5.9,7.2,641,238,78.7,21.3,76,78,9.3,9.3,49,73,6,8.8,0,18,0,2.2,0,18,0,2.2,0,25,0,3.1,14,34,1.7,4.2,34,49,4.2,5.9,390,171,47.9,17.1,251,165,30.8,18.7,76,78,9.3,9.3,49,73,6,8.8,0,36,0,4.4,438,181,53.8,17.6,125,108,15.4,12.7,,,,,0.308539356558414,0.00497795186633112
15,13045910701,Yes,Three Rivers,1218,Tract,"Census Tract 9107.01, Carroll County",1180,227,101,119,9.1,10.6,614,213,55.6,15.4,376,183,34,15,14,22,1.3,2,0,18,0,1.6,0,18,0,1.6,0,25,0,2.3,0,31,0,2.8,101,115,9.1,10.2,276,137,25,11.3,338,163,30.6,13.3,376,183,34,15,14,22,1.3,2,0,36,0,3.3,377,181,34.1,14.8,390,186,35.3,15.1,,,,,0.45448641908868,0.0063808010011271
16,13045910703,Yes,Three Rivers,1220,Tract,"Census Tract 9107.03, Carroll County",1228,216,241,160,19.6,12.5,685,275,55.8,20.1,223,142,18.2,11.1,54,89,4.4,7.2,0,18,0,1.5,0,18,0,1.5,25,46,2,3.7,20,41,1.6,3.3,221,154,18,12.2,345,193,28.1,14.9,340,196,27.7,15.2,223,142,18.2,11.1,54,89,4.4,7.2,25,52,2,4.2,586,251,47.7,18.6,277,169,22.6,13.1,,,,,0.325872925106175,0.00348107947588397
17,13045910600,Yes,Three Rivers,1217,Tract,"Census Tract 9106, Carroll County",831,221,15,58,2,7.7,601,242,80.5,25,85,64,11.4,8,12,20,1.6,2.6,34,55,4.6,7.3,0,18,0,2.4,0,25,0,3.4,0,31,0,4.2,15,48,2,6.5,203,139,27.2,17.2,398,199,53.3,22.8,85,64,11.4,8,12,20,1.6,2.6,34,63,4.6,8.4,218,150,29.2,18.6,131,86,17.5,10.7,,,,,0.325028929474596,0.00316231502043921
18,13045910501,Yes,Three Rivers,1215,Tract,"Census Tract 9105.01, Carroll County",1566,253,161,145,10.8,9.5,1061,297,71.2,15.9,268,153,18,9.8,0,18,0,1.2,0,18,0,1.2,0,18,0,1.2,0,25,0,1.7,0,31,0,2.1,161,141,10.8,9.3,462,197,31,12.1,599,222,40.2,13.3,268,153,18,9.8,0,18,0,1.2,0,36,0,2.4,623,244,41.8,14.8,268,155,18,10,,,,,0.311503860883934,0.00290188265012035
19,13045910702,Yes,Three Rivers,1219,Tract,"Census Tract 9107.02, Carroll County",407,203,23,63,6.8,18.4,299,175,89,23,14,28,4.2,8.2,0,18,0,5.4,0,18,0,5.4,0,18,0,5.4,0,25,0,7.6,0,31,0,9.3,23,55,6.8,15.9,23,52,6.8,14.9,276,167,82.1,24.8,14,28,4.2,8.2,0,18,0,5.4,0,36,0,10.7,46,81,13.7,23.1,14,38,4.2,11.1,,,,,0.344296905402636,0.00596583229949848
20,13045911200,Yes,Three Rivers,1225,Tract,"Census Tract 9112, Carroll County",656,160,104,91,17.1,14.3,440,159,72.5,19.3,59,49,9.7,7.8,4,9,0.7,1.5,0,18,0,3,0,18,0,3,0,25,0,4.2,0,31,0,5.1,104,85,17.1,13.4,257,135,42.3,19.8,183,83,30.1,11.5,59,49,9.7,7.8,4,9,0.7,1.5,0,36,0,5.9,361,163,59.5,22.6,63,53,10.4,8.4,,,,,0.61365244238427,0.0164355350370068
21,13045910400,Yes,Three Rivers,1214,Tract,"Census Tract 9104, Carroll County",458,96,101,70,25.4,16.7,266,112,67,23.8,30,30,7.6,7.5,0,13,0,3.3,0,13,0,3.3,0,13,0,3.3,0,18,0,4.6,0,23,0,5.7,101,66,25.4,15.7,223,106,56.2,23.5,43,35,10.8,8.5,30,30,7.6,7.5,0,13,0,3.3,0,26,0,6.5,324,127,81.6,26.2,30,36,7.6,8.8,,,,,0.601156687924697,0.0108498498748389
22,13059130400,No,Northeast Georgia,1363,Tract,"Census Tract 1304, Clarke County",675,157,0,54,0,8.3,281,148,43.4,20.4,184,131,28.4,19,166,114,25.6,16.5,17,27,2.6,4.1,0,18,0,2.8,0,25,0,3.9,0,31,0,4.8,0,44,0,6.8,103,91,15.9,13.5,178,117,27.5,16.8,184,131,28.4,19,166,114,25.6,16.5,17,41,2.6,6.3,103,106,15.9,15.9,367,176,56.6,23.4,,,,,0.171538433204081,0.00138155129721696
23,13059150400,No,Northeast Georgia,1372,Tract,"Census Tract 1504, Clarke County",1455,153,227,106,15.6,7.1,634,172,43.7,10.9,507,151,34.9,9.8,83,42,5.7,2.8,0,13,0,0.9,0,13,0,0.9,0,18,0,1.3,0,23,0,1.6,227,104,15.6,7,345,124,23.8,8.2,289,119,19.9,7.9,507,151,34.9,9.8,83,42,5.7,2.8,0,26,0,1.8,572,163,39.4,10.5,590,158,40.7,10,,,,,0.255846848879701,0.00143462897892058
24,13059000401,No,Northeast Georgia,1349,Tract,"Census Tract 4.01, Clarke County",747,89,5,38,0.7,5.5,642,112,94.1,10.9,24,23,3.5,3.3,11,20,1.6,2.9,0,13,0,1.9,0,13,0,1.9,0,18,0,2.7,0,23,0,3.3,5,30,0.7,4.4,420,91,61.6,10.7,222,65,32.6,8.5,24,23,3.5,3.3,11,20,1.6,2.9,0,26,0,3.8,425,99,62.3,11.9,35,33,5.1,4.8,,,,,0.0746400563075526,0.000155135379396681
25,13059000402,No,Northeast Georgia,1350,Tract,"Census Tract 4.02, Clarke County",335,40,25,49,7.5,14.7,218,56,65.1,14.9,69,40,20.6,11.7,7,8,2.1,2.4,16,24,4.8,7.1,0,18,0,5.4,0,25,0,7.6,0,31,0,9.3,25,38,7.5,11.4,149,45,44.5,12.4,69,34,20.6,9.8,69,40,20.6,11.7,7,8,2.1,2.4,16,39,4.8,11.7,174,67,51.9,19,92,47,27.5,13.7,,,,,0.0872135410047806,0.000220029072672737
26,13059140400,No,Northeast Georgia,1368,Tract,"Census Tract 1404, Clarke County",477,132,222,111,51,20.4,198,101,45.5,18.9,15,26,3.4,6,0,13,0,3,0,13,0,3,0,13,0,3,0,18,0,4.2,0,23,0,5.2,222,108,51,19.8,105,79,24.1,16.6,93,64,21.4,13.2,15,26,3.4,6,0,13,0,3,0,26,0,6,327,136,75.2,21.8,15,32,3.4,7.3,,,,,0.181678636159643,0.00136315616702021
27,13059150500,No,Northeast Georgia,1373,Tract,"Census Tract 1505, Clarke County",1744,195,164,102,9.6,5.8,1084,239,63.1,11.9,235,111,13.7,6.3,234,135,13.6,7.7,0,13,0,0.8,0,13,0,0.8,0,18,0,1.1,0,23,0,1.3,164,99,9.6,5.7,496,167,28.9,9.2,588,171,34.2,9.2,235,111,13.7,6.3,234,135,13.6,7.7,0,26,0,1.5,660,196,38.4,10.5,469,175,27.3,9.7,,,,,0.133960302928613,0.000589295137218083
28,13059001900,No,Northeast Georgia,1356,Tract,"Census Tract 19, Clarke County",1248,112,242,117,20,9.5,549,151,45.4,11.7,266,103,22,8.2,137,92,11.3,7.5,8,14,0.7,1.2,7,11,0.6,0.9,0,18,0,1.5,41,68,3.4,5.6,201,96,16.6,7.8,260,102,21.5,8.2,289,111,23.9,8.9,266,103,22,8.2,137,92,11.3,7.5,15,26,1.2,2.1,502,155,41.5,12.3,411,139,34,11,,,,,0.101952397966841,0.00026019793079362
29,13059140300,No,Northeast Georgia,1367,Tract,"Census Tract 1403, Clarke County",1157,186,41,73,3.7,6.5,959,238,86,15.6,115,90,10.3,7.9,0,18,0,1.6,0,18,0,1.6,0,18,0,1.6,0,25,0,2.3,0,31,0,2.8,41,66,3.7,5.9,548,174,49.1,13.3,411,162,36.9,13.1,115,90,10.3,7.9,0,18,0,1.6,0,36,0,3.2,589,189,52.8,14.4,115,93,10.3,8.2,,,,,0.274949030016759,0.00272488024014763
30,13059002000,No,Northeast Georgia,1357,Tract,"Census Tract 20, Clarke County",529,72,55,56,10.5,10.7,367,98,70.2,16.1,61,39,11.7,7.2,26,36,5,6.8,14,22,2.7,4.2,0,13,0,2.5,0,18,0,3.5,16,30,3.1,5.8,39,48,7.5,9.1,245,83,46.8,14.6,122,52,23.3,9.3,61,39,11.7,7.2,26,36,5,6.8,14,31,2.7,6,300,101,57.4,17.6,101,57,19.3,10.6,,,,,0.0611820376954972,0.000195495593093038
31,13059001800,No,Northeast Georgia,1355,Tract,"Census Tract 18, Clarke County",566,100,18,40,3.5,7.8,271,92,52.6,15,198,89,38.4,15.6,28,31,5.4,5.9,0,13,0,2.5,0,13,0,2.5,0,18,0,3.6,0,23,0,4.4,18,33,3.5,6.4,188,83,36.5,14.6,83,40,16.1,7.2,198,89,38.4,15.6,28,31,5.4,5.9,0,26,0,5,206,92,40,16.3,226,95,43.9,16.5,,,,,0.0636525667144495,0.000203437867063892
32,13059000900,No,Northeast Georgia,1352,Tract,"Census Tract 9, Clarke County",982,148,320,139,33.8,13.7,543,176,57.3,16.3,85,75,9,7.8,0,13,0,1.4,0,13,0,1.4,0,13,0,1.4,0,18,0,1.9,163,110,17.2,11.3,157,86,16.6,8.7,447,160,47.2,15.3,96,72,10.1,7.5,85,75,9,7.8,0,13,0,1.4,0,26,0,2.7,767,212,80.9,18.6,85,77,9,8,,,,,0.103373767582268,0.000242742890596013
33,13059150700,No,Northeast Georgia,1375,Tract,"Census Tract 1507, Clarke County",1532,201,68,81,4.4,5.2,1074,275,70.1,15.4,363,141,23.7,8.7,27,42,1.8,2.7,0,18,0,1.2,0,18,0,1.2,0,25,0,1.7,0,31,0,2,68,74,4.4,4.8,622,224,40.6,13.6,452,160,29.5,9.7,363,141,23.7,8.7,27,42,1.8,2.7,0,36,0,2.3,690,238,45,14.4,390,148,25.5,9.1,,,,,0.133997217613898,0.000896373094245444
34,13059130500,No,Northeast Georgia,1364,Tract,"Census Tract 1305, Clarke County",364,105,0,39,0,11.3,282,122,82,24.8,54,35,15.7,9.1,0,13,0,3.8,0,13,0,3.8,8,14,2.3,4,0,18,0,5.3,0,23,0,6.5,0,32,0,9.3,178,106,51.7,26.2,104,61,30.2,15.2,54,35,15.7,9.1,0,13,0,3.8,8,27,2.3,7.7,178,113,51.7,28.5,54,40,15.7,10.5,,,,,0.291756317088188,0.00306056169137698
35,13059140600,No,Northeast Georgia,1370,Tract,"Census Tract 1406, Clarke County",808,134,27,38,3.6,5.1,533,160,71.6,16.1,166,77,22.3,9.4,18,28,2.4,3.7,0,13,0,1.7,0,13,0,1.7,0,18,0,2.5,5,20,0.7,2.7,22,32,3,4.3,236,106,31.7,12.8,297,120,39.9,14,166,77,22.3,9.4,18,28,2.4,3.7,0,26,0,3.5,263,112,35.3,13.4,184,83,24.7,10.1,,,,,0.319116658346795,0.00317861171841137
36,13059140500,No,Northeast Georgia,1369,Tract,"Census Tract 1405, Clarke County",495,89,23,47,5,10.1,360,113,77.6,19.4,81,50,17.5,10.2,0,13,0,2.8,0,13,0,2.8,0,13,0,2.8,0,18,0,4,0,23,0,4.9,23,42,5,8.9,225,98,48.5,19.1,135,57,29.1,10.8,81,50,17.5,10.2,0,13,0,2.8,0,26,0,5.6,248,109,53.4,21.2,81,53,17.5,10.9,,,,,0.232756558747629,0.00209068747517802
37,13059030100,No,Northeast Georgia,1360,Tract,"Census Tract 301, Clarke County",1955,222,49,69,2.5,3.6,1323,336,68.8,15.2,326,144,16.9,7.2,145,85,7.5,4.3,81,74,4.2,3.8,0,18,0,0.9,0,25,0,1.3,15,34,0.8,1.8,34,60,1.8,3.1,780,251,40.5,12,543,223,28.2,11,326,144,16.9,7.2,145,85,7.5,4.3,81,80,4.2,4.1,829,260,43.1,12.4,552,182,28.7,8.8,,,,,0.0905697164694987,0.000372254086619923
38,13059130300,No,Northeast Georgia,1362,Tract,"Census Tract 1303, Clarke County",792,148,70,83,9,10.5,492,162,63.4,16.9,175,75,22.6,8.7,39,48,5,6.1,0,18,0,2.3,0,18,0,2.3,0,25,0,3.3,0,31,0,4,70,77,9,9.7,269,123,34.7,14.3,223,105,28.7,12.4,175,75,22.6,8.7,39,48,5,6.1,0,36,0,4.6,339,148,43.7,17.1,214,91,27.6,10.5,,,,,0.232762906180724,0.00173962646156369
39,13059002100,No,Northeast Georgia,1358,Tract,"Census Tract 21, Clarke County",990,123,63,71,6.7,7.5,551,139,58.5,12.3,295,87,31.3,8.2,15,22,1.6,2.3,0,13,0,1.4,0,13,0,1.4,18,25,1.9,2.6,0,23,0,2.4,63,67,6.7,7.1,409,123,43.4,11.6,142,65,15.1,6.5,295,87,31.3,8.2,15,22,1.6,2.3,18,31,1.9,3.3,472,142,50.1,13.4,310,91,32.9,8.5,,,,,0.0729368075943601,0.000163210236606715
40,13059130600,No,Northeast Georgia,1365,Tract,"Census Tract 1306, Clarke County",1420,233,0,54,0,3.9,1182,324,86,18.8,171,94,12.4,6.5,22,38,1.6,2.8,0,18,0,1.3,0,18,0,1.3,0,25,0,1.9,0,31,0,2.3,0,44,0,3.2,472,203,34.3,13.7,710,252,51.6,16.2,171,94,12.4,6.5,22,38,1.6,2.8,0,36,0,2.6,472,211,34.3,14.2,193,103,14,7.1,,,,,0.165239763761919,0.000918011122150598
41,13059001200,No,Northeast Georgia,1353,Tract,"Census Tract 12, Clarke County",859,126,21,42,2.5,4.9,526,149,62,15,169,77,19.9,8.6,88,80,10.4,9.3,17,19,2,2.2,19,20,2.2,2.3,9,19,1.1,2.2,0,23,0,2.7,21,36,2.5,4.2,311,117,36.6,12.7,215,93,25.3,10.3,169,77,19.9,8.6,88,80,10.4,9.3,45,34,5.3,3.9,332,124,39.1,13.4,274,113,32.3,12.4,,,,,0.119777966621892,0.000347870627536085
42,13059001700,No,Northeast Georgia,1354,Tract,"Census Tract 17, Clarke County",229,64,5,38,2.4,17.8,47,46,22.2,20.8,145,53,68.4,16.8,15,21,7.1,9.7,0,13,0,6.1,0,13,0,6.1,0,18,0,8.7,0,23,0,10.6,5,30,2.4,14.3,0,29,0,13.7,47,35,22.2,15.6,145,53,68.4,16.8,15,21,7.1,9.7,0,26,0,12.3,5,48,2.4,22.5,160,58,75.5,18.6,,,,,0.0863867311343949,0.000345510665449718
43,13059150300,No,Northeast Georgia,1371,Tract,"Census Tract 1503, Clarke County",780,153,53,60,6.9,7.7,337,129,44,14.4,166,127,21.7,16,52,52,6.8,6.7,125,77,16.3,9.5,0,13,0,1.7,33,48,4.3,6.2,0,23,0,2.9,53,56,6.9,7.1,228,108,29.8,12.8,109,71,14.2,8.9,166,127,21.7,16,52,52,6.8,6.7,158,92,20.6,11.2,281,123,36.7,14.4,343,157,44.8,18.5,,,,,0.15185997723038,0.000639312964491081
44,13059000600,No,Northeast Georgia,1351,Tract,"Census Tract 6, Clarke County",1032,103,237,124,23.6,12,509,136,50.7,12.2,212,96,21.1,9.3,34,37,3.4,3.7,11,14,1.1,1.4,0,13,0,1.3,0,18,0,1.8,66,64,6.6,6.3,171,106,17,10.4,307,86,30.6,7.8,202,105,20.1,10.2,212,96,21.1,9.3,34,37,3.4,3.7,11,27,1.1,2.6,544,151,54.2,13.7,257,104,25.6,10,,,,,0.057669766518172,0.000131657228644072
