OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Income_Total_households,Household_inc_less_35k,Pct_Household_inc_less_35k,Household_inc_35k_75k,Pct_Household_inc_35k_74999k,Household_inc_75k_200k,Pct_Household_inc_75k_200k,Household_inc_200k_more,Pct_Household_inc_200k_more,Median_household_inc,Average_Per_capita_Inc,Aggregate_HH_Income,Average_Household_Income,GlobalID,last_edited_date
1,910103,13045910103,9101.03,ARC 20,1800,557,30.9,657,36.5,519,28.8,67,3.7,54722,24061,114699200,63722,{74E40FC2-FB43-4A53-A28A-7B35A2CCA5FD},
2,910104,13045910104,9101.04,ARC 20,3506,953,27.2,1530,43.6,1004,28.6,19,0.5,55964,26025,247807904,70681,{FF873F0C-D691-4B9A-91AA-B4A7D2905CCB},
3,910502,13045910502,9105.02,ARC 20,1056,816,77.3,169,16,71,6.7,0,0,24750,10558,30503200,28886,{7D693468-C2C1-4304-A958-452DF37297F1},
4,910800,13045910800,9108,ARC 20,1448,466,32.2,539,37.2,387,26.7,56,3.9,48986,22722,91855600,63436,{9C1CC1B6-B261-4DFB-800F-72089C5B1974},
5,910101,13045910101,9101.01,ARC 20,2240,1078,48.1,753,33.6,388,17.3,21,0.9,36544,18706,109428600,48852,{1464256B-026B-4CBF-B62B-9FE7ABDEECA1},
6,910200,13045910200,9102,ARC 20,4247,1876,44.2,1236,29.1,1135,26.7,0,0,43365,18660,224149696,52778,{61D6E123-70A7-41F8-9C7E-5A2DEC2658C9},
7,910900,13045910900,9109,ARC 20,1352,456,33.7,448,33.1,384,28.4,64,4.7,52212,22804,92550096,68454,{FB776B7A-8AB7-4026-A0F0-5D1FADB66C42},
8,910300,13045910300,9103,ARC 20,2111,921,43.6,648,30.7,516,24.4,26,1.2,38373,19514,112445104,53266,{86204ED3-9834-423C-8A64-AA1BC134186E},
9,911100,13045911100,9111,ARC 20,3243,1422,43.8,941,29,828,25.5,52,1.6,40670,25822,196765696,60674,{9C35D0F7-4A36-42EA-8D2B-7EB57761191E},
10,911000,13045911000,9110,ARC 20,2306,950,41.2,704,30.5,553,24,99,4.3,43231,22389,135406208,58719,{EB58A0CA-4547-49EC-A8DD-0355C7969602},
